run_id,lead_hours,field,pressure_hpa,baseline_rmse,residual_rmse,rmse_reduction_pct
k2_w128_d16,12,u_component_of_wind,2,14.895625313762883,17.34028832311302,-16.411952891238315
k2_w128_d16,12,u_component_of_wind,3,11.87113817843274,14.091461947769133,-18.70354582655127
k2_w128_d16,12,u_component_of_wind,5,10.709125424796524,14.727892679927882,-37.526568190396524
k2_w128_d16,12,u_component_of_wind,7,10.901145661516868,14.527685886547271,-33.26751460475192
k2_w128_d16,12,u_component_of_wind,10,11.447085571042013,15.135980720062422,-32.225627441383864
k2_w128_d16,12,u_component_of_wind,20,5.134926218667017,9.571565648051703,-86.4012303284155
k2_w128_d16,12,u_component_of_wind,30,4.994617706208698,9.970464850143722,-99.62418420432179
k2_w128_d16,12,v_component_of_wind,1,12.726917456271055,15.755331578855335,-23.79534661861158
k2_w128_d16,12,v_component_of_wind,2,9.349193005206905,12.265682291425469,-31.195091219041736
k2_w128_d16,12,v_component_of_wind,3,7.481465209103362,10.858977819396962,-45.14506872509252
k2_w128_d16,12,v_component_of_wind,5,5.893825716081344,9.127614072781945,-54.86739025684433
k2_w128_d16,12,v_component_of_wind,7,5.071410392081228,8.508420224722038,-67.7722678095139
k2_w128_d16,12,v_component_of_wind,10,4.120996070934423,7.721084503913987,-87.3596667167716
k2_w128_d16,12,v_component_of_wind,20,2.9789222318981445,6.077021438456962,-104.00067425005366
k2_w128_d16,12,v_component_of_wind,30,2.7181772335320478,5.727686622213887,-110.7179234509013
k2_w128_d16,12,specific_humidity,1,8.814010256614677e-07,4.262702833307399e-07,51.63719227455681
k2_w128_d16,12,specific_humidity,2,6.305848105687949e-07,1.9436408594378046e-07,69.17716971830295
k2_w128_d16,12,specific_humidity,3,5.551204037968211e-07,1.676392580249955e-07,69.80127970825714
k2_w128_d16,12,specific_humidity,5,4.6422920435253585e-07,1.9724260080297627e-07,57.511806893305625
k2_w128_d16,12,specific_humidity,7,3.8497633158306966e-07,2.21395741011424e-07,42.49107728233118
k2_w128_d16,12,specific_humidity,10,2.692824810496123e-07,2.9833092767391633e-07,-10.787351078718022
k2_w128_d16,12,specific_humidity,20,1.0686904421861988e-07,3.6653991773426953e-07,-242.98043967198404
k2_w128_d16,12,specific_humidity,30,8.353686107986295e-08,1.8952974959091622e-07,-126.881579150696
k2_w128_d16,12,specific_cloud_ice_water_content,1,1.30583857276781e-06,6.89771772036616e-06,-428.2213180260097
k2_w128_d16,12,specific_cloud_ice_water_content,2,1.2947436224920502e-06,6.940238327272806e-06,-436.0318604168618
k2_w128_d16,12,specific_cloud_ice_water_content,3,1.2953284382551769e-06,6.910585714818406e-06,-433.5006559515553
k2_w128_d16,12,specific_cloud_ice_water_content,5,1.287848892775687e-06,6.934190954764533e-06,-438.43203140232896
k2_w128_d16,12,specific_cloud_ice_water_content,7,1.2907921512427467e-06,6.916535257834778e-06,-435.83648236284114
k2_w128_d16,12,specific_cloud_ice_water_content,10,1.2984202585491805e-06,6.9163059696688106e-06,-432.6708301206654
k2_w128_d16,12,specific_cloud_ice_water_content,20,1.1161525118318823e-06,5.7391931662851215e-06,-414.19435117031514
k2_w128_d16,12,specific_cloud_ice_water_content,30,9.56380736842403e-07,4.989046041986066e-06,-421.6589847321638
k2_w128_d16,12,specific_cloud_liquid_water_content,1,2.5188116199009185e-06,1.692973000790662e-05,-572.1316462948737
k2_w128_d16,12,specific_cloud_liquid_water_content,2,2.5206757505396504e-06,1.685450116905595e-05,-568.6501096163431
k2_w128_d16,12,specific_cloud_liquid_water_content,3,2.5075289501953947e-06,1.6854925121863442e-05,-572.1727029532422
k2_w128_d16,12,specific_cloud_liquid_water_content,5,2.51587452353472e-06,1.6852343617455887e-05,-569.8403859099819
k2_w128_d16,12,specific_cloud_liquid_water_content,7,2.531710135992916e-06,1.6867567904733605e-05,-566.2519403359058
k2_w128_d16,12,specific_cloud_liquid_water_content,10,2.508134886685798e-06,1.686774289500919e-05,-572.5213617716513
k2_w128_d16,12,specific_cloud_liquid_water_content,20,2.202986879532424e-06,1.3897263949163144e-05,-530.8373453460053
k2_w128_d16,12,specific_cloud_liquid_water_content,30,1.7966072683527435e-06,1.0618294681405246e-05,-491.01924323955615
k2_w256_d16,6,temperature,1,9.9039903324195,8.703281696047135,12.123483526049018
k2_w256_d16,6,temperature,2,7.803570145844489,9.016933982163431,-15.548829748971693
k2_w256_d16,6,temperature,3,5.9621518485255605,8.657736054645522,-45.211599345403776
k2_w256_d16,6,temperature,5,4.385090055922865,6.0868672485166195,-38.80826096821417
k2_w256_d16,6,temperature,7,3.7635630458508427,5.561464979547495,-47.771271845140404
k2_w256_d16,6,temperature,10,2.9208224696340426,3.927904677545521,-34.47940497519038
k2_w256_d16,6,temperature,20,2.0939721623718794,3.4184266396464427,-63.250815893098135
k2_w256_d16,6,temperature,30,1.8917885452409964,3.4280207688902813,-81.20528203396977
k2_w256_d16,6,geopotential,1,30406.341476584912,2976.97402435553,90.20936462662561
k2_w256_d16,6,geopotential,2,20741.683378610287,1776.5216980844596,91.43501679368761
k2_w256_d16,6,geopotential,3,15608.950424260322,1472.1066721008435,90.56882985666472
k2_w256_d16,6,geopotential,5,9579.348559879374,980.9118462884917,89.76014036698918
k2_w256_d16,6,geopotential,7,6064.013373796517,809.3223880128096,86.65368398575754
k2_w256_d16,6,geopotential,10,2819.5194941345767,648.2300539974328,77.00920120091595
k2_w256_d16,6,geopotential,20,1363.2952418466095,507.5944252513522,62.76709478103908
