run_id,train_K,eval_K,checkpoint_update,origin,valid_time,lead_hours,physical_hours,field,pressure_hpa,location,era5,baseline,residual
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,2.0,New York,0.0,-3.201803338015452e-07,-1.410048298566835e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,2.0,Beijing,0.0,1.1987472134933341e-06,5.64446145290276e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,3.0,Global mean,0.0,8.389064266073973e-07,3.673272182944663e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,3.0,New York,0.0,-3.8372445487766527e-07,-1.334354010396055e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,3.0,Beijing,0.0,1.077777369573596e-06,5.577610863838345e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,5.0,Global mean,0.0,8.735207078024945e-07,4.2311622413686544e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,5.0,New York,0.0,-3.672948878374882e-07,-1.2843418062402634e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,5.0,Beijing,0.0,1.1682443528115982e-06,5.536475327971857e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,7.0,Global mean,0.0,9.127986828439538e-07,2.678949977691097e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,7.0,New York,0.0,-3.6069195630261675e-07,-1.435580315956031e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,7.0,Beijing,0.0,1.188812575492193e-06,5.635651177726686e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,10.0,Global mean,0.0,8.475489957015011e-07,2.0737948004195173e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,10.0,New York,0.0,-4.016255843453109e-07,-1.5777216049173148e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,10.0,Beijing,0.0,1.120167326007504e-06,5.64388665225124e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,20.0,Global mean,0.0,8.065658581164909e-07,-1.0373329610254608e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,20.0,New York,0.0,-3.1585159376845695e-07,-2.4389250938838813e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,20.0,Beijing,0.0,5.704398517991649e-07,3.1390570711664623e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_liquid_water_content,30.0,Global mean,0.0,7.231624994069726e-07,-2.5656889329408435e-06
