run_id,epoch,update,field,pressure_hpa,baseline_mse,residual_mse
r2p8_w256_di32,3,1272,specific_humidity,1000.0,1.1164597994239398e-07,1.4019565072595715e-07
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,1.0,2.0656094913948557e-12,2.5113950976152306e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,2.0,2.0234545277697125e-12,2.4683977704519625e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,3.0,2.0223645892362894e-12,2.467534975626878e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,5.0,2.00482062520991e-12,2.465030452513064e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,7.0,2.0152753867592816e-12,2.4672458170445856e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,10.0,2.037115150627534e-12,2.473176737652216e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,20.0,1.436444092610472e-12,1.802674708911344e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,30.0,1.0323275304599433e-12,1.3354152422273233e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,50.0,6.04867116940882e-13,1.0925061408962248e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,70.0,5.007802197102933e-13,8.782768558785714e-13
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,100.0,1.41792414577202e-12,1.970120156736415e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,125.0,7.433379552119128e-12,8.544139473287521e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,150.0,2.0437429827850873e-11,2.2196502969570254e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,175.0,3.4651052583181316e-11,3.872669833667657e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,200.0,4.9533701323312176e-11,5.99355022454391e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,225.0,6.440855524445746e-11,8.627429698722459e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,250.0,7.128898804799967e-11,1.140214801155947e-10
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,300.0,6.805355274630973e-11,1.1947087227495301e-10
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,350.0,6.064485854360536e-11,9.203319220693417e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,400.0,4.579369841041881e-11,5.969506376183537e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,450.0,3.341729136034257e-11,4.1252641747417543e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,500.0,2.3787024569424588e-11,2.8452640185449823e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,550.0,1.584411670627491e-11,1.9229550994325716e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,600.0,1.1052950666157134e-11,1.3261889925291913e-11
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,650.0,8.164465710032475e-12,9.765255845741376e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,700.0,6.09391010173955e-12,7.022753722576428e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,750.0,4.78754874018024e-12,5.672442180501834e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,775.0,4.713934288971145e-12,5.357214422098663e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,800.0,4.707491983358201e-12,5.5412853380335e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,825.0,4.550229323514479e-12,5.225694163705923e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,850.0,3.961986983271616e-12,4.418707276299927e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,875.0,3.203053258355219e-12,3.5431651750960044e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,900.0,2.611289247265449e-12,3.0406242088407554e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,925.0,2.0978291394259484e-12,2.5760627282942854e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,950.0,1.5283444514611215e-12,1.904748594644868e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,975.0,1.052711194566144e-12,1.2363420126081796e-12
r2p8_w256_di32,3,1272,specific_cloud_ice_water_content,1000.0,8.760627932093284e-13,1.0564925089570684e-12
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,1.0,6.960850716230101e-12,1.1214800013261763e-11
r2p8_w256_di32,3,1272,specific_cloud_liquid_water_content,2.0,6.97905872942246e-12,1.1179485303795577e-11
