recipe,run_id,field,pressure_hpa,baseline_contribution,residual_contribution
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,450.0,7.0394886957916364e-06,9.14810491828453e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,500.0,5.567593014070188e-06,6.973989072074019e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,550.0,4.07932285032951e-06,5.089716901892199e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,600.0,3.1044655012180074e-06,3.827966527074657e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,650.0,2.4842682039258613e-06,3.0605792018984366e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,700.0,1.996877562225462e-06,2.367828151176007e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,750.0,1.6808610939542619e-06,1.9862416409390555e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,775.0,1.7101829881884173e-06,1.9650694281818056e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,800.0,1.7629375635749186e-06,2.101959944521558e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,825.0,1.7572946572361806e-06,2.0331229629998882e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,850.0,1.576483119841703e-06,1.7470012115619208e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,875.0,1.311987107133571e-06,1.462154808661476e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,900.0,1.1001574510393313e-06,1.3051316759621272e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,925.0,9.083834286326398e-07,1.168546222662521e-06
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,950.0,6.79676420804846e-07,8.627774923382968e-07
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,975.0,4.804754606115303e-07,5.788704420180162e-07
current_v2,r2p8_w128_di16,specific_cloud_ice_water_content,1000.0,4.1010266356011305e-07,5.138645245300673e-07
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,1.0,7.367327332618576e-10,1.2934427355542802e-09
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,2.0,1.4773197236594671e-09,2.5872157933132138e-09
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,3.0,2.189022150811756e-09,3.87680871660873e-09
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,5.0,3.683059818517809e-09,6.4793857288194095e-09
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,7.0,5.222773739046608e-09,9.072658271874268e-09
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,10.0,7.3079414756757e-09,1.2874161072377467e-08
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,20.0,1.1311154016495977e-08,2.0148771742129115e-08
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,30.0,1.2404332500506004e-08,2.42211100629503e-08
current_v2,r2p8_w128_di16,specific_cloud_liquid_water_content,50.0,1.939716097315909e-08,6.649081765332842e-08
