run_id,lead_hours,field,pressure_hpa,baseline_rmse,residual_rmse,rmse_reduction_pct
k1_w128_d16,6,specific_cloud_ice_water_content,150,4.311433631878387e-06,4.800717775775041e-06,-11.348525471409964
k1_w128_d16,6,specific_cloud_ice_water_content,175,5.304966906524722e-06,6.030902211886848e-06,-13.68406849945245
k1_w128_d16,6,specific_cloud_ice_water_content,200,6.185023156271143e-06,6.904331128756468e-06,-11.629834752615299
k1_w128_d16,6,specific_cloud_ice_water_content,225,7.101211349720051e-06,8.18036762976483e-06,-15.196791461323333
k1_w128_d16,6,specific_cloud_ice_water_content,250,7.386617679075463e-06,9.155435683307287e-06,-23.946250924052382
k1_w128_d16,6,specific_cloud_ice_water_content,300,7.829288484206586e-06,1.0192414866397438e-05,-30.183156323308324
k1_w128_d16,6,specific_cloud_ice_water_content,350,7.80624505449205e-06,1.0294989447592345e-05,-31.881453576302544
k1_w128_d16,6,specific_cloud_ice_water_content,400,7.120926844651715e-06,9.76109257179861e-06,-37.076152932673835
k1_w128_d16,6,specific_cloud_ice_water_content,450,6.058367179161973e-06,8.387587055092068e-06,-38.44633062092295
k1_w128_d16,6,specific_cloud_ice_water_content,500,5.082633881682386e-06,6.821458761787684e-06,-34.211098430126086
k1_w128_d16,6,specific_cloud_ice_water_content,550,4.068997740982845e-06,5.324500507563707e-06,-30.85533211128306
k1_w128_d16,6,specific_cloud_ice_water_content,600,3.3272283591458385e-06,4.389173548005411e-06,-31.916811058084214
k1_w128_d16,6,specific_cloud_ice_water_content,650,2.827360602925425e-06,3.764285065813518e-06,-33.13777739983617
k1_w128_d16,6,specific_cloud_ice_water_content,700,2.4590415700052676e-06,3.2518287592168017e-06,-32.23968227628766
k1_w128_d16,6,specific_cloud_ice_water_content,750,2.184414980923423e-06,3.0675437071522814e-06,-40.428615164300474
k1_w128_d16,6,specific_cloud_ice_water_content,775,2.2108547637127945e-06,2.716350363301893e-06,-22.864260822822914
k1_w128_d16,6,specific_cloud_ice_water_content,800,2.290939934106601e-06,3.0588898973523155e-06,-33.521174074133576
k1_w128_d16,6,specific_cloud_ice_water_content,825,2.2888853242247466e-06,3.051829157681176e-06,-33.332549489557394
